chart_id,track_id,artist_id,chart_name,week_date,peak_position,current_position,weeks_on_chart,movement
CHT_00324,TRK_00129,ART_0311,Indie Spotlight,2022-12-01,8,13,23,-3
CHT_00325,TRK_04955,ART_0089,Top 100 Global,2026-03-15,10,12,19,-27
CHT_00326,TRK_01384,ART_0379,Viral 50,2026-03-07,25,39,2,12
CHT_00327,TRK_04810,ART_0503,Weekend Anthems,2026-03-09,56,70,6,-14
CHT_00328,TRK_03123,ART_0586,Top Streaming,2025-11-05,42,54,4,20
CHT_00329,TRK_04656,ART_0266,Hot 100,2023-01-05,83,95,1,-15
CHT_00330,TRK_05663,ART_0243,Indie Spotlight,2026-02-21,100,100,11,2
CHT_00331,TRK_03351,ART_0414,Viral 50,2021-02-26,62,73,8,-10
CHT_00332,TRK_04955,ART_0089,Top Streaming,2026-04-05,1,14,4,27
CHT_00333,TRK_00129,ART_0311,Indie Spotlight,2024-01-18,6,17,22,-11
CHT_00334,TRK_00119,ART_0208,Top 100 Global,2023-06-09,95,100,4,9
CHT_00335,TRK_04380,ART_0406,Indie Spotlight,2022-04-02,21,24,10,-25
CHT_00336,TRK_03933,ART_0355,Indie Spotlight,2025-08-13,7,17,43,2
CHT_00337,TRK_03933,ART_0355,Viral 50,2025-07-16,13,23,21,13
CHT_00338,TRK_00129,ART_0311,Viral 50,2025-03-20,12,15,7,-7
CHT_00339,TRK_00538,ART_0154,Hot 100,2025-02-27,61,67,2,18
CHT_00340,TRK_00764,ART_0515,Top 100 Global,2026-04-27,90,100,30,13
CHT_00341,TRK_00272,ART_0447,New Music Friday,2022-03-14,59,78,11,8
CHT_00342,TRK_01461,ART_0626,Top 100 Global,2026-04-06,96,97,4,30
CHT_00343,TRK_00129,ART_0311,Top Streaming,2025-08-14,8,10,18,-22
CHT_00344,TRK_03933,ART_0355,Top Streaming,2025-07-02,29,32,8,22
CHT_00345,TRK_04955,ART_0089,Viral 50,2026-04-26,4,12,39,15
CHT_00346,TRK_01517,ART_0007,New Music Friday,2026-03-11,82,100,2,29
CHT_00347,TRK_04955,ART_0089,Top Streaming,2026-04-12,6,11,6,18
CHT_00348,TRK_03351,ART_0414,Top Streaming,2026-01-30,95,96,49,4
CHT_00349,TRK_05663,ART_0243,Viral 50,2026-03-14,85,87,18,21
CHT_00350,TRK_05233,ART_0623,Hot 100,2025-05-24,50,67,1,-19
CHT_00351,TRK_04309,ART_0255,Weekend Anthems,2026-04-27,73,92,5,28
CHT_00352,TRK_03933,ART_0355,Top 100 Global,2026-04-15,13,31,15,25
CHT_00353,TRK_04955,ART_0089,Top 100 Global,2026-04-12,9,29,23,-26
CHT_00354,TRK_03933,ART_0355,Top Streaming,2025-06-11,25,25,16,-23
CHT_00355,TRK_05713,ART_0026,Hot 100,2024-07-21,34,52,1,16
CHT_00356,TRK_03847,ART_0344,Top 100 Global,2026-04-04,77,86,2,17
CHT_00357,TRK_01604,ART_0483,New Music Friday,2025-05-11,80,100,17,17
CHT_00358,TRK_03933,ART_0355,Top Streaming,2025-08-13,7,21,8,13
CHT_00359,TRK_04955,ART_0089,Weekend Anthems,2026-04-26,10,13,42,-12
CHT_00360,TRK_02856,ART_0435,Top 100 Global,2022-08-09,72,92,3,15
CHT_00361,TRK_02133,ART_0437,New Music Friday,2026-04-27,100,100,1,-29
CHT_00362,TRK_00531,ART_0437,Hot 100,2026-01-11,58,62,23,3
CHT_00363,TRK_04955,ART_0089,Hot 100,2026-04-12,6,10,21,15
CHT_00364,TRK_02509,ART_0138,New Music Friday,2026-04-21,56,60,3,14
CHT_00365,TRK_00129,ART_0311,New Music Friday,2026-02-12,23,23,8,-12
CHT_00366,TRK_00764,ART_0515,New Music Friday,2026-04-27,64,81,18,15
CHT_00367,TRK_05478,ART_0655,Viral 50,2025-12-07,96,100,11,-25
CHT_00368,TRK_00764,ART_0515,Indie Spotlight,2026-04-27,91,92,6,0
CHT_00369,TRK_03933,ART_0355,Viral 50,2025-10-08,13,16,1,28
CHT_00370,TRK_05855,ART_0009,Top Streaming,2025-12-09,48,54,5,-19
CHT_00371,TRK_05923,ART_0377,Weekend Anthems,2025-11-18,56,66,14,20
CHT_00372,TRK_04726,ART_0146,Top 100 Global,2017-01-09,21,34,1,9
CHT_00373,TRK_04955,ART_0089,Weekend Anthems,2026-04-05,6,22,11,15
CHT_00374,TRK_02189,ART_0141,Hot 100,2025-11-16,41,49,14,20
CHT_00375,TRK_04380,ART_0406,Top Streaming,2018-06-02,92,100,12,0
CHT_00376,TRK_03397,ART_0217,Top 100 Global,2026-04-27,25,37,6,6
CHT_00377,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,98,98,14,-23
CHT_00378,TRK_05478,ART_0655,Indie Spotlight,2026-01-04,55,59,8,16
CHT_00379,TRK_01461,ART_0626,New Music Friday,2024-07-29,21,23,17,19
CHT_00380,TRK_05649,ART_0381,Hot 100,2023-01-18,63,74,3,-26
CHT_00381,TRK_04955,ART_0089,Top Streaming,2026-03-29,2,16,16,1
CHT_00382,TRK_05667,ART_0154,Indie Spotlight,2026-03-15,85,97,5,-25
CHT_00383,TRK_04955,ART_0089,Viral 50,2026-04-26,6,26,51,13
CHT_00384,TRK_03933,ART_0355,Top Streaming,2025-12-24,17,29,9,-20
CHT_00385,TRK_03351,ART_0414,Top 100 Global,2024-05-24,30,32,4,26
CHT_00386,TRK_04582,ART_0574,Indie Spotlight,2025-04-17,41,48,3,-6
CHT_00387,TRK_04955,ART_0089,Viral 50,2026-03-29,4,18,22,3
CHT_00388,TRK_03397,ART_0217,Top 100 Global,2026-04-27,77,78,4,-23
CHT_00389,TRK_04852,ART_0146,Viral 50,2009-01-19,70,87,1,5
CHT_00390,TRK_05713,ART_0026,Indie Spotlight,2024-03-03,26,33,5,-15
CHT_00391,TRK_04955,ART_0089,Top Streaming,2026-03-22,4,7,6,-3
CHT_00392,TRK_02065,ART_0161,Hot 100,2025-04-02,71,79,1,27
CHT_00393,TRK_04955,ART_0089,Top 100 Global,2026-04-26,8,9,46,-10
CHT_00394,TRK_03933,ART_0355,Top 100 Global,2025-09-10,6,21,7,20
CHT_00395,TRK_00353,ART_0690,Hot 100,2022-01-11,25,28,4,-28
CHT_00396,TRK_04654,ART_0068,Hot 100,2024-04-12,80,85,8,-13
CHT_00397,TRK_01871,ART_0437,Top Streaming,2025-08-15,100,100,1,18
CHT_00398,TRK_01461,ART_0626,Weekend Anthems,2024-09-23,49,49,3,28
CHT_00399,TRK_05505,ART_0135,Top Streaming,2024-12-20,7,8,5,-7
CHT_00400,TRK_05505,ART_0135,Top Streaming,2025-11-07,17,34,5,-25
CHT_00401,TRK_04955,ART_0089,New Music Friday,2026-04-26,7,25,28,14
CHT_00402,TRK_05505,ART_0135,Top 100 Global,2025-07-11,27,39,5,-14
CHT_00403,TRK_01461,ART_0626,New Music Friday,2023-01-30,71,77,5,-24
CHT_00404,TRK_01706,ART_0043,Hot 100,2025-09-12,88,92,21,10
CHT_00405,TRK_00764,ART_0515,New Music Friday,2026-04-27,55,60,14,6
CHT_00406,TRK_05667,ART_0154,Top 100 Global,2026-04-12,67,74,2,4
CHT_00407,TRK_01879,ART_0283,Top 100 Global,2025-06-12,59,59,3,8
CHT_00408,TRK_03933,ART_0355,Viral 50,2025-12-03,5,17,9,-4
CHT_00409,TRK_05810,ART_0071,New Music Friday,2026-04-27,54,60,5,-23
CHT_00410,TRK_05505,ART_0135,Viral 50,2026-01-02,27,27,7,9
CHT_00411,TRK_03351,ART_0414,Viral 50,2022-12-23,81,90,6,-27
CHT_00412,TRK_04955,ART_0089,New Music Friday,2026-04-26,2,21,37,18
CHT_00413,TRK_01518,ART_0387,Viral 50,2023-01-28,65,69,2,-19
CHT_00414,TRK_00129,ART_0311,Top Streaming,2022-07-28,12,12,43,10
CHT_00415,TRK_00123,ART_0467,Viral 50,2024-10-29,27,37,2,-29
CHT_00416,TRK_05663,ART_0243,Indie Spotlight,2026-03-28,37,52,3,1
CHT_00417,TRK_00784,ART_0154,New Music Friday,2024-09-29,79,85,15,16
CHT_00418,TRK_04955,ART_0089,Indie Spotlight,2026-04-19,6,10,9,16
CHT_00419,TRK_03397,ART_0217,New Music Friday,2026-04-27,59,78,1,8
CHT_00420,TRK_03933,ART_0355,Viral 50,2025-11-05,28,30,13,9
CHT_00421,TRK_04380,ART_0406,Indie Spotlight,2019-10-19,51,65,19,23
CHT_00422,TRK_03397,ART_0217,Top 100 Global,2026-04-27,74,79,2,-7
CHT_00423,TRK_04380,ART_0406,Top Streaming,2020-02-15,82,87,14,-12
CHT_00424,TRK_02232,ART_0462,Top Streaming,2020-11-20,53,56,1,23
CHT_00425,TRK_05191,ART_0539,Viral 50,2025-09-05,70,71,6,3
CHT_00426,TRK_04955,ART_0089,Top 100 Global,2026-04-26,5,21,20,8
CHT_00427,TRK_04301,ART_0027,Top 100 Global,2026-01-17,91,100,4,-25
CHT_00428,TRK_05505,ART_0135,Hot 100,2025-11-14,18,35,16,-1
CHT_00429,TRK_00772,ART_0211,Indie Spotlight,2026-04-27,89,100,2,-12
CHT_00430,TRK_02189,ART_0141,Top 100 Global,2025-12-14,97,99,2,17
CHT_00431,TRK_05505,ART_0135,Hot 100,2025-12-19,28,34,1,15
CHT_00432,TRK_00298,ART_0450,Indie Spotlight,2025-12-09,67,77,2,14
CHT_00433,TRK_00129,ART_0311,Viral 50,2025-12-18,29,32,37,29
CHT_00434,TRK_00018,ART_0271,Viral 50,2026-04-27,87,100,2,2
CHT_00435,TRK_00764,ART_0515,Hot 100,2026-04-27,68,74,9,-1
CHT_00436,TRK_04641,ART_0012,Indie Spotlight,2022-12-14,71,86,6,3
CHT_00437,TRK_04136,ART_0295,Weekend Anthems,2016-08-15,32,50,3,29
CHT_00438,TRK_03361,ART_0579,Viral 50,2022-10-25,46,49,1,-14
CHT_00439,TRK_00531,ART_0437,Top 100 Global,2025-11-02,42,52,16,-15
CHT_00440,TRK_05956,ART_0229,Top 100 Global,2022-02-10,53,61,1,10
CHT_00441,TRK_01790,ART_0039,Top Streaming,2026-03-22,36,38,2,24
CHT_00442,TRK_00129,ART_0311,Top Streaming,2025-03-13,8,13,41,-10
CHT_00443,TRK_04309,ART_0255,Top Streaming,2026-04-27,70,84,3,25
CHT_00444,TRK_04278,ART_0319,New Music Friday,2024-07-15,72,75,6,-23
CHT_00445,TRK_01182,ART_0423,Viral 50,2024-12-01,64,71,2,-28
CHT_00446,TRK_00129,ART_0311,Viral 50,2025-06-12,17,23,47,-17
CHT_00447,TRK_04309,ART_0255,Weekend Anthems,2026-04-27,82,93,15,0
CHT_00448,TRK_03933,ART_0355,Weekend Anthems,2026-01-07,30,45,2,15
CHT_00449,TRK_05505,ART_0135,Top 100 Global,2024-11-08,19,32,19,-7
CHT_00450,TRK_00531,ART_0437,Top Streaming,2025-12-07,96,100,6,-11
CHT_00451,TRK_04955,ART_0089,Top Streaming,2026-03-15,1,2,12,21
CHT_00452,TRK_04302,ART_0407,Weekend Anthems,2025-12-12,22,30,2,-25
CHT_00453,TRK_03933,ART_0355,Top 100 Global,2026-03-18,12,25,5,-4
CHT_00454,TRK_05505,ART_0135,Top 100 Global,2025-06-13,17,30,50,-25
CHT_00455,TRK_00129,ART_0311,Viral 50,2025-04-17,6,8,11,-25
CHT_00456,TRK_04955,ART_0089,Hot 100,2026-03-29,2,18,14,11
CHT_00457,TRK_03933,ART_0355,Top Streaming,2026-02-25,12,20,18,-2
CHT_00458,TRK_03839,ART_0549,Top 100 Global,2025-06-18,33,35,2,16
CHT_00459,TRK_00129,ART_0311,Top 100 Global,2021-08-05,12,12,5,17
CHT_00460,TRK_05923,ART_0377,Hot 100,2026-01-13,80,87,22,0
CHT_00461,TRK_00129,ART_0311,Top 100 Global,2022-06-09,13,23,7,-7
CHT_00462,TRK_02658,ART_0520,Weekend Anthems,2024-10-13,28,35,1,20
CHT_00463,TRK_05663,ART_0243,Viral 50,2026-02-14,37,50,1,-3
CHT_00464,TRK_05923,ART_0377,Hot 100,2023-05-16,97,100,2,-29
CHT_00465,TRK_00531,ART_0437,New Music Friday,2026-04-12,26,46,8,14
CHT_00466,TRK_02741,ART_0474,Weekend Anthems,2025-10-13,57,76,5,16
CHT_00467,TRK_04955,ART_0089,Hot 100,2026-03-29,8,25,1,19
CHT_00468,TRK_03933,ART_0355,Indie Spotlight,2025-07-30,13,33,24,-17
CHT_00469,TRK_02702,ART_0341,Viral 50,2023-08-13,25,33,5,25
CHT_00470,TRK_04955,ART_0089,New Music Friday,2026-04-26,2,12,5,2
CHT_00471,TRK_00764,ART_0515,Weekend Anthems,2026-04-27,59,66,1,22
CHT_00472,TRK_03351,ART_0414,Indie Spotlight,2023-08-18,67,84,39,18
CHT_00473,TRK_05995,ART_0577,Weekend Anthems,2026-04-16,100,100,1,-14
CHT_00474,TRK_04955,ART_0089,Top 100 Global,2026-03-22,8,24,21,9
CHT_00475,TRK_05667,ART_0154,Top 100 Global,2025-01-05,59,69,4,25
CHT_00476,TRK_03480,ART_0230,New Music Friday,2022-10-13,28,33,1,-29
CHT_00477,TRK_03034,ART_0442,Top 100 Global,2025-11-05,85,91,4,19
CHT_00478,TRK_02176,ART_0501,New Music Friday,2025-11-26,74,91,1,-22
CHT_00479,TRK_05505,ART_0135,Hot 100,2025-03-14,7,14,19,19
CHT_00480,TRK_05505,ART_0135,New Music Friday,2024-11-08,7,16,18,13
CHT_00481,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,80,97,11,24
CHT_00482,TRK_05667,ART_0154,Weekend Anthems,2025-12-14,56,62,9,8
CHT_00483,TRK_04955,ART_0089,Weekend Anthems,2026-04-26,6,26,10,-2
CHT_00484,TRK_04955,ART_0089,Top Streaming,2026-04-26,5,19,23,-4
CHT_00485,TRK_05505,ART_0135,Top 100 Global,2025-04-11,14,29,23,-6
CHT_00486,TRK_03933,ART_0355,Top Streaming,2025-10-08,25,35,7,-17
CHT_00487,TRK_00129,ART_0311,Top Streaming,2024-01-18,30,43,5,0
CHT_00488,TRK_03933,ART_0355,Viral 50,2025-12-17,10,25,21,17
CHT_00489,TRK_04955,ART_0089,Hot 100,2026-04-19,3,23,17,-18
CHT_00490,TRK_05478,ART_0655,New Music Friday,2026-01-04,25,35,14,10
CHT_00491,TRK_00269,ART_0473,New Music Friday,2020-11-08,76,87,1,0
CHT_00492,TRK_05921,ART_0395,Top Streaming,2025-06-09,40,44,11,5
CHT_00493,TRK_00764,ART_0515,Top 100 Global,2026-04-27,45,61,7,-23
CHT_00494,TRK_02107,ART_0564,Top 100 Global,2025-09-18,36,53,5,0
CHT_00495,TRK_04955,ART_0089,Viral 50,2026-04-19,5,5,15,30
CHT_00496,TRK_00917,ART_0347,Viral 50,2025-10-09,100,100,9,-6
CHT_00497,TRK_00764,ART_0515,Hot 100,2026-04-27,39,43,15,16
CHT_00498,TRK_05478,ART_0655,Hot 100,2025-11-30,96,100,4,-21
CHT_00499,TRK_03397,ART_0217,Hot 100,2026-04-27,62,66,1,24
CHT_00500,TRK_04955,ART_0089,Weekend Anthems,2026-03-22,7,7,2,0
CHT_00501,TRK_02626,ART_0025,Top Streaming,2026-03-18,33,47,24,18
CHT_00502,TRK_04955,ART_0089,Top 100 Global,2026-04-26,2,15,41,-29
CHT_00503,TRK_05505,ART_0135,New Music Friday,2024-10-04,14,14,10,18
CHT_00504,TRK_00764,ART_0515,Top 100 Global,2026-04-27,45,58,30,-30
CHT_00505,TRK_03933,ART_0355,Indie Spotlight,2026-01-28,8,19,33,20
CHT_00506,TRK_04955,ART_0089,New Music Friday,2026-03-29,9,17,52,7
CHT_00507,TRK_04058,ART_0566,Hot 100,2025-08-27,65,85,6,-20
CHT_00508,TRK_03933,ART_0355,Top 100 Global,2025-06-25,26,44,20,-17
CHT_00509,TRK_00457,ART_0627,Weekend Anthems,2026-04-27,48,64,9,6
CHT_00510,TRK_03351,ART_0414,Hot 100,2022-04-22,43,50,8,-25
CHT_00511,TRK_01461,ART_0626,Top Streaming,2023-12-25,86,99,4,-19
CHT_00512,TRK_03351,ART_0414,Top Streaming,2022-01-21,22,29,35,23
CHT_00513,TRK_03933,ART_0355,New Music Friday,2025-06-11,13,21,3,21
CHT_00514,TRK_05505,ART_0135,Weekend Anthems,2025-05-16,25,26,18,-24
CHT_00515,TRK_00129,ART_0311,Indie Spotlight,2024-10-31,11,15,18,9
CHT_00516,TRK_00129,ART_0311,Top 100 Global,2023-02-09,26,31,3,-24
CHT_00517,TRK_04587,ART_0373,New Music Friday,2026-04-27,88,100,2,28
CHT_00518,TRK_04156,ART_0650,Weekend Anthems,2026-04-27,69,70,1,1
CHT_00519,TRK_00764,ART_0515,Top 100 Global,2026-04-27,43,54,7,-4
CHT_00520,TRK_04955,ART_0089,Indie Spotlight,2026-03-15,5,9,34,-28
CHT_00521,TRK_03148,ART_0437,Top 100 Global,2024-07-12,24,28,3,-13
CHT_00522,TRK_04309,ART_0255,New Music Friday,2026-04-27,86,100,2,6
CHT_00523,TRK_01461,ART_0626,New Music Friday,2023-10-16,36,39,10,28
CHT_00524,TRK_03933,ART_0355,Top Streaming,2025-07-30,26,29,9,-10
CHT_00525,TRK_00531,ART_0437,Viral 50,2025-11-02,43,60,9,11
CHT_00526,TRK_05478,ART_0655,Hot 100,2025-11-16,66,86,2,29
CHT_00527,TRK_05478,ART_0655,Viral 50,2026-02-08,81,93,12,-8
CHT_00528,TRK_04955,ART_0089,Hot 100,2026-04-26,10,15,46,30
CHT_00529,TRK_05925,ART_0623,Viral 50,2026-02-21,39,47,1,-20
CHT_00530,TRK_02189,ART_0141,Top Streaming,2025-05-04,76,87,13,6
CHT_00531,TRK_02350,ART_0291,Indie Spotlight,2025-11-05,58,76,3,-19
CHT_00532,TRK_04380,ART_0406,Weekend Anthems,2023-05-06,73,76,3,3
CHT_00533,TRK_05663,ART_0243,Hot 100,2026-02-14,86,100,12,13
CHT_00534,TRK_05505,ART_0135,Viral 50,2025-09-19,8,22,9,-28
CHT_00535,TRK_00764,ART_0515,Indie Spotlight,2026-04-27,36,44,7,-10
CHT_00536,TRK_03933,ART_0355,Viral 50,2025-08-13,14,21,2,-25
CHT_00537,TRK_03397,ART_0217,Indie Spotlight,2026-04-27,36,37,1,5
CHT_00538,TRK_01461,ART_0626,Weekend Anthems,2024-11-25,86,95,16,14
CHT_00539,TRK_04955,ART_0089,Indie Spotlight,2026-03-15,1,17,2,-4
CHT_00540,TRK_00764,ART_0515,Viral 50,2026-04-27,72,92,37,23
CHT_00541,TRK_02263,ART_0609,Top 100 Global,2020-07-31,21,34,6,27
CHT_00542,TRK_03477,ART_0092,Top Streaming,2026-04-27,52,56,1,-10
CHT_00543,TRK_05505,ART_0135,Top Streaming,2025-05-09,15,27,36,12
CHT_00544,TRK_00764,ART_0515,Indie Spotlight,2026-04-27,63,74,2,7
CHT_00545,TRK_01461,ART_0626,Viral 50,2025-01-27,52,55,3,7
CHT_00546,TRK_04955,ART_0089,Viral 50,2026-03-15,10,26,52,-8
CHT_00547,TRK_04955,ART_0089,New Music Friday,2026-04-26,2,12,2,-7
CHT_00548,TRK_04871,ART_0305,New Music Friday,2026-01-14,91,100,2,-12
CHT_00549,TRK_04955,ART_0089,Weekend Anthems,2026-04-19,8,19,24,22
CHT_00550,TRK_04955,ART_0089,Weekend Anthems,2026-03-29,8,14,49,-6
CHT_00551,TRK_05848,ART_0191,Weekend Anthems,2022-04-04,83,96,1,-3
CHT_00552,TRK_05667,ART_0154,Top 100 Global,2026-02-22,45,48,9,16
CHT_00553,TRK_03933,ART_0355,Top Streaming,2025-07-30,15,35,16,14
CHT_00554,TRK_03933,ART_0355,Indie Spotlight,2025-11-19,28,28,1,26
CHT_00555,TRK_01604,ART_0483,Weekend Anthems,2025-11-16,27,44,2,-2
CHT_00556,TRK_05923,ART_0377,Weekend Anthems,2026-04-21,56,57,1,-23
CHT_00557,TRK_00129,ART_0311,Indie Spotlight,2023-11-16,28,40,24,-13
CHT_00558,TRK_05505,ART_0135,New Music Friday,2025-04-18,26,34,3,-28
CHT_00559,TRK_02809,ART_0388,Top 100 Global,2007-05-08,27,29,11,3
CHT_00560,TRK_03618,ART_0242,Viral 50,2026-01-29,62,74,1,-10
CHT_00561,TRK_05505,ART_0135,New Music Friday,2024-08-02,25,44,1,-27
CHT_00562,TRK_02626,ART_0025,Top Streaming,2025-11-19,85,85,4,-8
CHT_00563,TRK_04955,ART_0089,Hot 100,2026-04-05,6,6,30,30
CHT_00564,TRK_04955,ART_0089,Viral 50,2026-03-22,5,5,12,24
CHT_00565,TRK_05505,ART_0135,Viral 50,2024-07-05,20,20,4,14
CHT_00566,TRK_01415,ART_0500,Weekend Anthems,2024-05-18,63,83,1,-13
CHT_00567,TRK_04955,ART_0089,Viral 50,2026-03-22,5,21,13,8
CHT_00568,TRK_03933,ART_0355,Top Streaming,2026-01-07,25,38,8,18
CHT_00569,TRK_05956,ART_0229,Weekend Anthems,2025-03-13,62,82,18,-4
CHT_00570,TRK_00129,ART_0311,Weekend Anthems,2025-05-01,20,40,18,15
CHT_00571,TRK_00764,ART_0515,New Music Friday,2026-04-27,70,80,4,-12
CHT_00572,TRK_05667,ART_0154,Indie Spotlight,2024-07-07,72,73,4,-25
CHT_00573,TRK_04955,ART_0089,New Music Friday,2026-03-15,9,17,45,26
CHT_00574,TRK_00764,ART_0515,Top Streaming,2026-04-27,94,95,21,24
CHT_00575,TRK_00143,ART_0412,Top Streaming,2025-07-29,51,62,2,3
CHT_00576,TRK_03933,ART_0355,Top 100 Global,2025-10-01,17,17,15,30
CHT_00577,TRK_00129,ART_0311,Viral 50,2023-02-16,11,11,22,-30
CHT_00578,TRK_04677,ART_0437,Hot 100,2025-10-17,25,32,1,11
CHT_00579,TRK_04955,ART_0089,Hot 100,2026-04-12,10,12,1,16
CHT_00580,TRK_04201,ART_0625,New Music Friday,2023-06-30,20,23,1,28
CHT_00581,TRK_03783,ART_0093,Hot 100,2023-10-01,65,65,5,-18
CHT_00582,TRK_05667,ART_0154,Hot 100,2024-07-07,98,100,2,-10
CHT_00583,TRK_05663,ART_0243,Viral 50,2026-04-18,26,36,1,20
CHT_00584,TRK_03933,ART_0355,Top Streaming,2026-04-22,7,13,1,-10
CHT_00585,TRK_02970,ART_0046,Viral 50,2023-11-13,55,55,1,-29
CHT_00586,TRK_04055,ART_0317,New Music Friday,2022-11-05,91,100,8,-8
CHT_00587,TRK_02296,ART_0540,Top Streaming,2025-12-19,100,100,5,29
CHT_00588,TRK_03933,ART_0355,Top 100 Global,2025-12-03,26,38,27,-3
CHT_00589,TRK_04955,ART_0089,Viral 50,2026-03-15,7,21,9,-18
CHT_00590,TRK_03933,ART_0355,Hot 100,2025-06-25,9,24,16,23
CHT_00591,TRK_05555,ART_0060,Indie Spotlight,2026-03-12,69,74,2,18
CHT_00592,TRK_05505,ART_0135,Weekend Anthems,2025-02-28,21,23,12,-2
CHT_00593,TRK_03839,ART_0549,Top Streaming,2025-09-17,62,72,6,23
CHT_00594,TRK_03933,ART_0355,Weekend Anthems,2026-02-25,8,10,9,-4
CHT_00595,TRK_03048,ART_0290,Indie Spotlight,2025-08-06,55,70,3,-12
CHT_00596,TRK_00764,ART_0515,Top Streaming,2026-04-27,29,47,1,8
CHT_00597,TRK_00129,ART_0311,Viral 50,2022-01-27,16,16,29,13
CHT_00598,TRK_04216,ART_0028,Top 100 Global,2024-04-15,33,53,1,17
CHT_00599,TRK_00129,ART_0311,New Music Friday,2021-10-14,29,33,13,11
CHT_00600,TRK_04955,ART_0089,Hot 100,2026-04-12,3,14,20,-28
CHT_00601,TRK_04552,ART_0625,New Music Friday,2024-12-06,30,47,9,-16
CHT_00602,TRK_05478,ART_0655,Viral 50,2026-02-22,73,78,2,5
CHT_00603,TRK_04309,ART_0255,Top 100 Global,2026-04-27,91,100,11,16
CHT_00604,TRK_04468,ART_0348,Top Streaming,2026-03-01,40,57,2,28
CHT_00605,TRK_01461,ART_0626,Top 100 Global,2022-08-22,79,95,6,24
CHT_00606,TRK_00707,ART_0394,Top Streaming,2026-03-07,97,100,1,-26
CHT_00607,TRK_04955,ART_0089,Viral 50,2026-04-26,5,8,36,28
CHT_00608,TRK_04316,ART_0551,Top 100 Global,2017-05-26,26,31,5,-22
CHT_00609,TRK_05505,ART_0135,Weekend Anthems,2026-02-20,8,21,9,-16
CHT_00610,TRK_01170,ART_0377,New Music Friday,2023-08-28,63,69,1,17
CHT_00611,TRK_05713,ART_0026,Viral 50,2024-09-22,34,34,3,-7
CHT_00612,TRK_03003,ART_0060,New Music Friday,2026-01-12,33,35,4,9
CHT_00613,TRK_03933,ART_0355,Top 100 Global,2025-06-25,12,13,11,17
CHT_00614,TRK_04955,ART_0089,Viral 50,2026-04-26,8,8,13,-18
CHT_00615,TRK_01461,ART_0626,New Music Friday,2022-09-12,88,100,5,-13
CHT_00616,TRK_02070,ART_0225,Top 100 Global,2025-08-17,58,64,4,2
CHT_00617,TRK_04955,ART_0089,Indie Spotlight,2026-03-29,6,14,7,17
CHT_00618,TRK_04955,ART_0089,Hot 100,2026-04-26,6,26,52,-10
CHT_00619,TRK_03977,ART_0123,Top Streaming,2026-04-27,58,66,1,-10
CHT_00620,TRK_00751,ART_0557,Hot 100,2026-04-27,70,81,2,-29
CHT_00621,TRK_03933,ART_0355,Top Streaming,2026-04-22,11,13,23,21
CHT_00622,TRK_04955,ART_0089,Hot 100,2026-03-15,10,13,11,11
CHT_00623,TRK_03438,ART_0327,Weekend Anthems,2026-04-07,58,66,3,4
CHT_00624,TRK_01321,ART_0286,Top Streaming,2026-03-07,63,70,3,14
CHT_00625,TRK_00129,ART_0311,Hot 100,2024-04-18,29,29,9,3
CHT_00626,TRK_00400,ART_0098,Viral 50,2023-02-10,71,75,1,-16
CHT_00627,TRK_05667,ART_0154,Viral 50,2024-05-26,38,57,4,23
CHT_00628,TRK_03351,ART_0414,Top 100 Global,2024-06-21,51,51,13,-30
CHT_00629,TRK_00531,ART_0437,Indie Spotlight,2026-02-22,21,33,47,24
CHT_00630,TRK_01790,ART_0039,Viral 50,2026-01-18,87,88,1,-29
CHT_00631,TRK_04955,ART_0089,New Music Friday,2026-04-19,2,17,37,-14
CHT_00632,TRK_02046,ART_0157,New Music Friday,2022-04-11,79,80,9,19
CHT_00633,TRK_03884,ART_0657,New Music Friday,2023-05-27,23,40,1,21
CHT_00634,TRK_05956,ART_0229,Hot 100,2023-05-18,71,84,7,-20
CHT_00635,TRK_04654,ART_0068,Top 100 Global,2024-12-27,96,100,40,2
CHT_00636,TRK_03933,ART_0355,Hot 100,2026-01-21,25,33,21,-18
CHT_00637,TRK_01604,ART_0483,Top 100 Global,2025-11-16,75,85,1,-27
CHT_00638,TRK_01461,ART_0626,Top 100 Global,2023-03-06,96,98,4,8
CHT_00639,TRK_01231,ART_0437,Hot 100,2026-04-27,35,39,8,-1
CHT_00640,TRK_00129,ART_0311,Weekend Anthems,2021-12-16,6,24,19,19
CHT_00641,TRK_05712,ART_0649,Top Streaming,2024-03-22,53,61,1,21
CHT_00642,TRK_05696,ART_0098,Hot 100,2023-03-31,37,46,1,10
CHT_00643,TRK_05478,ART_0655,Weekend Anthems,2025-11-30,74,85,25,-22
CHT_00644,TRK_00867,ART_0203,Viral 50,2026-04-27,27,36,3,-28
CHT_00645,TRK_03170,ART_0187,Viral 50,2011-06-12,64,68,4,6
CHT_00646,TRK_03034,ART_0442,Weekend Anthems,2025-08-13,21,27,3,-7
CHT_00647,TRK_00764,ART_0515,New Music Friday,2026-04-27,33,44,7,-12
CHT_00648,TRK_01808,ART_0274,Weekend Anthems,2026-04-01,86,88,1,14
CHT_00649,TRK_03933,ART_0355,New Music Friday,2025-06-11,8,13,19,-29
