track_id,tempo_bpm,energy,danceability,valence,acousticness,loudness_db,instrumentalness,speechiness,liveness,key,mode,time_signature
TRK_01101,108,0.331,0.605,0.613,0.095,-7.63,0.113,0.058,0.124,0,0,4
TRK_01102,114,0.866,0.514,0.765,0.584,-6.3,0.059,0.248,0.101,11,0,4
TRK_01103,130,0.734,0.59,0.805,0.193,-13.28,0.047,0.013,0.237,11,1,4
TRK_01104,78,0.105,0.277,0.5,0.372,-3.5,0.045,0.109,0.065,9,1,4
TRK_01105,115,0.806,0.578,0.797,0.211,-5.23,0.091,0.221,0.087,11,1,5
TRK_01106,139,0.866,0.266,0.429,0.608,-6.63,0.027,0.096,0.217,11,1,4
TRK_01107,129,0.354,0.606,0.434,0.837,-3.76,0.014,0.128,0.343,8,0,4
TRK_01108,121,0.408,0.876,0.397,0.502,-9.73,0.107,0.07,0.02,2,0,4
TRK_01109,100,0.614,0.628,0.438,0.093,-10.38,0.102,0.521,0.019,9,1,4
TRK_01110,128,0.827,0.57,0.337,0.668,-7.55,0.143,0.021,0.022,9,0,4
TRK_01111,163,0.704,0.425,0.665,0.405,-9.35,0.041,0.043,0.12,6,0,3
TRK_01112,131,0.795,0.945,0.272,0.408,-12.74,0.03,0.313,0.3,1,1,4
TRK_01113,92,0.256,0.752,0.69,0.514,-10.93,0.07,0.203,0.335,1,0,4
TRK_01114,161,0.681,0.644,0.746,0.232,-6.8,0.019,0.052,0.032,10,1,4
TRK_01115,106,0.402,0.719,0.73,0.903,-8.13,0.106,0.004,0.156,0,1,4
TRK_01116,126,0.52,0.547,0.601,0.438,-10.07,0.076,0.038,0.106,6,0,4
TRK_01117,129,0.801,0.724,0.49,0.077,-8.96,0.06,0.077,0.08,8,1,4
TRK_01118,115,0.675,0.914,0.827,0.489,-8.12,0.167,0.134,0.08,10,0,4
TRK_01119,106,0.093,0.564,0.788,0.621,-11.7,0.292,0.305,0.326,6,0,6
TRK_01120,140,0.7,0.595,0.739,0.89,-13.16,0.016,0.112,0.191,11,1,4
TRK_01121,88,0.241,0.629,0.381,0.437,-14.77,0.079,0.024,0.063,8,0,4
TRK_01122,102,0.396,0.672,0.222,0.826,-13.61,0.095,0.038,0.324,7,0,4
TRK_01123,123,0.801,0.642,0.271,0.367,-4.95,0.076,0.042,0.077,0,0,5
TRK_01124,107,0.554,1.0,0.403,0.109,-14.57,0.052,0.53,0.214,0,0,4
TRK_01125,103,0.501,0.687,0.516,0.695,-9.47,0.064,0.195,0.465,10,0,4
TRK_01126,129,0.425,0.851,0.562,0.109,-8.97,0.124,0.299,0.003,8,0,4
TRK_01127,58,0.378,0.474,0.407,0.848,-3.0,0.182,0.43,0.323,1,0,4
TRK_01128,148,0.816,0.355,0.302,0.43,-6.99,0.137,0.088,0.125,0,1,4
TRK_01129,90,0.607,0.614,0.182,0.886,-14.04,0.004,0.17,0.257,6,1,5
TRK_01130,85,0.71,0.698,0.425,0.107,-12.15,0.12,0.514,0.165,6,0,4
TRK_01131,122,0.233,0.524,0.849,0.592,-9.97,0.049,0.004,0.038,7,0,4
TRK_01132,133,0.926,0.535,0.418,0.348,-8.45,0.019,0.42,0.013,0,0,3
TRK_01133,70,0.224,0.798,0.512,0.182,-10.42,0.029,0.098,0.297,10,1,4
TRK_01134,108,0.46,0.58,0.677,0.149,-13.91,0.11,0.051,0.022,3,1,3
TRK_01135,102,0.882,0.648,0.56,0.18,-13.13,0.05,0.593,0.022,4,0,4
TRK_01136,69,0.29,0.943,0.238,0.386,-9.49,0.021,0.111,0.062,6,1,5
TRK_01137,138,0.744,0.489,0.332,0.719,-3.27,0.211,0.056,0.114,6,1,3
TRK_01138,95,0.834,0.496,0.902,0.6,-8.01,0.082,0.1,0.172,0,1,4
TRK_01139,112,0.648,0.477,0.768,0.746,-14.81,0.126,0.239,0.421,10,0,4
TRK_01140,128,0.568,0.762,0.227,0.085,-11.45,0.06,0.028,0.057,9,0,4
TRK_01141,102,0.108,0.517,0.403,0.466,-8.68,0.03,0.306,0.009,5,1,4
TRK_01142,148,0.26,0.799,0.091,0.764,-5.51,0.129,0.048,0.05,10,1,4
TRK_01143,136,0.449,0.63,0.667,0.491,-7.15,0.082,0.022,0.244,7,1,4
TRK_01144,124,0.8,0.534,0.464,0.216,-10.28,0.172,0.041,0.117,3,1,4
TRK_01145,156,0.724,0.611,0.076,0.67,-7.55,0.005,0.011,0.16,7,1,4
TRK_01146,141,0.473,0.717,0.725,0.88,-7.96,0.275,0.207,0.191,0,1,4
TRK_01147,121,0.301,0.713,0.561,0.505,-4.02,0.014,0.007,0.332,4,1,3
TRK_01148,103,0.836,0.477,0.736,0.492,-5.95,0.024,0.084,0.152,7,0,6
TRK_01149,97,0.386,0.728,0.255,0.505,-5.53,0.137,0.001,0.372,9,0,4
TRK_01150,47,0.636,0.576,0.607,0.686,-9.16,0.042,0.322,0.156,1,1,4
TRK_01151,129,0.831,0.682,0.439,0.069,-4.82,0.092,0.015,0.104,4,0,4
TRK_01152,134,0.602,0.619,0.936,0.32,-5.85,0.02,0.044,0.066,9,1,4
TRK_01153,90,0.3,0.487,0.414,0.277,-12.34,0.055,0.033,0.406,4,1,4
TRK_01154,103,0.417,0.689,0.352,0.374,-12.67,0.055,0.121,0.06,8,1,3
TRK_01155,149,0.85,0.558,0.266,0.888,-10.73,0.262,0.167,0.035,11,0,4
TRK_01156,40,0.057,0.345,0.353,0.596,-13.97,0.055,0.116,0.022,11,0,4
TRK_01157,80,0.182,0.517,0.459,0.681,-12.15,0.075,0.03,0.132,5,1,4
TRK_01158,109,0.232,0.201,0.156,0.874,-6.81,0.132,0.298,0.149,8,0,4
TRK_01159,131,0.287,0.55,0.712,0.695,-14.07,0.032,0.017,0.313,0,0,4
TRK_01160,123,0.676,0.874,0.547,0.086,-9.86,0.056,0.02,0.155,5,0,4
TRK_01161,130,0.841,0.862,0.657,0.008,-4.04,0.017,0.068,0.105,1,0,4
TRK_01162,94,0.227,0.683,0.716,0.566,-7.94,0.029,0.163,0.245,9,0,4
TRK_01163,128,0.38,0.873,0.239,0.16,-6.81,0.234,0.062,0.066,6,1,3
TRK_01164,40,0.07,0.392,0.786,0.636,-6.8,0.184,0.058,0.039,2,1,4
TRK_01165,108,0.179,0.469,0.606,0.921,-12.81,0.164,0.207,0.327,4,1,4
TRK_01166,132,0.783,0.673,0.809,0.868,-14.24,0.129,0.228,0.075,8,0,5
TRK_01167,110,0.382,0.671,0.886,0.18,-13.98,0.356,0.272,0.01,10,0,4
TRK_01168,127,0.859,0.595,0.8,0.771,-7.51,0.047,0.017,0.249,9,1,4
TRK_01169,110,0.407,0.937,0.759,0.794,-9.96,0.017,0.004,0.177,8,0,5
TRK_01170,147,0.785,0.269,0.705,0.703,-5.19,0.009,0.046,0.15,4,0,4
TRK_01171,120,0.892,0.558,0.276,0.634,-3.24,0.451,0.106,0.071,1,1,4
TRK_01172,96,0.154,0.445,0.327,0.538,-10.89,0.291,0.088,0.476,6,0,4
TRK_01173,61,0.399,0.018,0.854,0.553,-10.53,0.099,0.0,0.395,5,1,4
TRK_01174,73,0.309,0.062,0.067,0.701,-10.86,0.16,0.017,0.156,11,0,4
TRK_01175,104,0.587,0.546,0.275,0.26,-5.56,0.012,0.258,0.209,0,0,4
TRK_01176,125,0.931,0.651,0.577,0.243,-5.75,0.068,0.036,0.254,1,0,4
TRK_01177,123,0.118,0.598,0.32,0.496,-13.71,0.064,0.306,0.367,0,1,4
TRK_01178,95,0.494,0.862,0.479,0.066,-5.74,0.188,0.631,0.17,3,1,4
TRK_01179,136,0.903,0.407,0.437,0.559,-9.53,0.004,0.369,0.136,4,1,5
TRK_01180,119,0.108,0.787,0.252,0.783,-3.34,0.041,0.057,0.266,7,0,4
TRK_01181,103,0.908,0.739,0.243,0.298,-3.77,0.105,0.068,0.202,10,1,4
TRK_01182,76,0.35,0.631,0.506,0.89,-5.47,0.215,0.021,0.264,11,1,4
TRK_01183,145,0.415,0.611,0.753,0.502,-10.69,0.012,0.017,0.052,4,0,4
TRK_01184,138,0.702,0.598,0.738,0.877,-8.45,0.055,0.272,0.025,6,0,5
TRK_01185,88,0.291,0.713,0.221,0.711,-14.89,0.04,0.259,0.19,9,0,4
TRK_01186,156,0.752,0.242,0.376,0.426,-7.48,0.041,0.071,0.139,8,1,5
TRK_01187,105,0.233,0.347,0.91,0.602,-3.88,0.066,0.124,0.458,1,0,4
TRK_01188,131,0.315,0.928,0.743,0.279,-9.7,0.012,0.04,0.434,1,1,4
TRK_01189,133,0.63,0.569,0.463,0.478,-12.3,0.118,0.01,0.198,9,1,4
TRK_01190,120,0.151,0.502,0.245,0.946,-7.61,0.032,0.127,0.324,7,0,4
TRK_01191,110,0.769,0.763,0.233,0.427,-6.44,0.147,0.063,0.242,8,0,4
TRK_01192,124,0.431,0.806,0.661,0.454,-5.99,0.022,0.158,0.036,2,0,4
TRK_01193,98,0.539,0.586,0.503,0.126,-12.66,0.082,0.082,0.363,3,0,4
TRK_01194,123,0.508,0.457,0.578,0.712,-7.76,0.096,0.021,0.013,5,1,4
TRK_01195,105,0.044,0.466,0.328,0.807,-7.49,0.113,0.187,0.055,2,1,4
TRK_01196,117,0.674,0.633,0.54,0.434,-5.47,0.303,0.231,0.239,10,0,4
TRK_01197,112,0.674,0.934,0.358,0.085,-9.35,0.129,0.568,0.102,5,0,4
TRK_01198,125,0.057,0.933,0.203,0.368,-8.78,0.048,0.075,0.42,1,0,4
TRK_01199,114,0.635,0.507,0.304,0.085,-4.13,0.04,0.37,0.453,9,0,5
TRK_01200,81,0.6,0.817,0.278,0.781,-3.5,0.003,0.132,0.345,3,1,4
TRK_01201,75,0.395,0.685,0.209,0.784,-3.48,0.099,0.095,0.007,9,1,4
TRK_01202,140,0.761,0.763,0.897,0.088,-12.27,0.27,0.07,0.162,11,0,4
TRK_01203,120,0.623,0.793,0.238,0.236,-4.29,0.225,0.243,0.336,9,1,4
TRK_01204,102,0.892,0.826,0.358,0.116,-12.27,0.161,0.608,0.289,2,1,4
TRK_01205,134,0.951,0.789,0.325,0.117,-11.92,0.196,0.121,0.047,1,0,4
TRK_01206,102,0.449,0.237,0.564,0.598,-13.97,0.057,0.051,0.245,5,1,4
TRK_01207,116,0.847,0.542,0.581,0.417,-5.23,0.048,0.003,0.046,9,0,4
TRK_01208,124,0.327,0.643,0.757,0.216,-6.86,0.013,0.015,0.061,11,0,4
TRK_01209,192,0.885,0.198,0.47,0.762,-13.01,0.101,0.138,0.14,2,0,4
TRK_01210,125,0.79,0.636,0.58,0.781,-13.62,0.014,0.209,0.057,8,1,4
TRK_01211,126,0.697,0.676,0.683,0.343,-8.9,0.048,0.004,0.044,10,1,4
TRK_01212,75,0.514,0.502,0.041,0.815,-11.88,0.046,0.017,0.051,7,1,4
TRK_01213,142,0.585,0.865,0.86,0.121,-9.42,0.173,0.04,0.129,6,0,4
TRK_01214,163,0.722,0.204,0.518,0.114,-5.86,0.043,0.298,0.161,10,1,4
TRK_01215,124,0.518,0.751,0.532,0.307,-12.44,0.032,0.057,0.332,2,1,4
TRK_01216,108,0.182,0.718,0.032,0.127,-9.65,0.062,0.418,0.204,1,0,4
TRK_01217,98,0.458,0.791,0.197,0.753,-11.24,0.004,0.081,0.254,4,0,4
TRK_01218,126,0.588,0.501,0.142,0.149,-5.23,0.083,0.031,0.109,10,0,4
TRK_01219,121,0.133,0.45,0.17,0.156,-8.99,0.114,0.101,0.162,9,1,4
TRK_01220,75,0.929,0.777,0.842,0.096,-4.4,0.038,0.822,0.242,8,0,4
TRK_01221,89,0.342,0.587,0.192,0.889,-5.45,0.184,0.024,0.311,8,1,4
TRK_01222,131,0.641,0.496,0.499,0.418,-3.78,0.111,0.106,0.145,4,1,4
TRK_01223,131,0.379,0.68,0.597,0.069,-12.47,0.052,0.119,0.175,10,0,4
TRK_01224,154,0.753,0.181,0.456,0.642,-3.46,0.0,0.092,0.17,0,0,4
TRK_01225,105,0.189,0.677,0.202,0.127,-14.48,0.222,0.142,0.066,8,0,4
TRK_01226,98,0.156,0.706,0.36,0.834,-11.76,0.115,0.033,0.005,6,0,6
TRK_01227,92,0.612,0.508,0.186,0.479,-4.57,0.158,0.04,0.074,2,0,4
TRK_01228,60,0.406,0.281,0.425,0.695,-6.82,0.001,0.237,0.018,10,1,4
TRK_01229,101,0.086,0.739,0.393,0.777,-11.98,0.033,0.289,0.359,11,0,3
TRK_01230,80,0.823,1.0,0.266,0.11,-5.55,0.242,0.827,0.183,2,1,4
TRK_01231,137,0.902,0.552,0.352,0.272,-6.63,0.07,0.184,0.034,6,0,4
TRK_01232,128,0.748,0.571,0.451,0.477,-5.19,0.024,0.045,0.011,8,0,4
TRK_01233,175,0.691,0.479,0.186,0.712,-6.82,0.04,0.038,0.043,0,1,4
TRK_01234,140,0.604,0.552,0.6,0.717,-5.46,0.086,0.225,0.071,1,1,3
TRK_01235,166,0.6,0.397,0.543,0.63,-5.89,0.07,0.297,0.168,4,0,4
TRK_01236,87,0.535,0.834,0.329,0.936,-5.55,0.099,0.133,0.093,8,1,4
TRK_01237,101,0.336,0.518,0.517,0.705,-11.48,0.144,0.239,0.011,1,0,4
TRK_01238,86,0.74,0.488,0.339,0.092,-14.75,0.111,0.448,0.221,3,0,4
TRK_01239,115,0.628,0.706,0.621,0.94,-10.61,0.112,0.262,0.154,1,1,4
TRK_01240,103,0.165,0.58,0.318,0.207,-5.39,0.135,0.032,0.12,8,1,4
TRK_01241,113,0.56,0.786,0.781,0.55,-9.99,0.078,0.685,0.463,0,1,4
TRK_01242,107,0.589,0.528,0.204,0.491,-10.64,0.192,0.303,0.329,7,1,4
TRK_01243,90,0.372,0.711,0.591,0.158,-13.26,0.086,0.02,0.051,6,1,4
TRK_01244,89,0.118,0.629,0.483,0.74,-8.64,0.003,0.185,0.536,7,0,4
TRK_01245,119,0.61,0.754,0.332,0.882,-14.51,0.082,0.146,0.117,9,0,3
TRK_01246,96,0.229,0.648,0.697,0.514,-13.37,0.014,0.091,0.117,11,0,4
TRK_01247,81,0.414,0.332,0.351,0.851,-8.28,0.081,0.161,0.3,0,0,4
TRK_01248,111,0.885,0.604,0.321,0.509,-3.55,0.059,0.118,0.176,0,0,4
TRK_01249,106,0.392,0.533,0.824,0.396,-7.63,0.042,0.145,0.126,8,1,4
TRK_01250,81,0.258,0.079,0.326,0.65,-9.41,0.031,0.085,0.246,5,1,4
TRK_01251,113,0.727,0.691,0.556,0.337,-10.18,0.106,0.898,0.287,4,0,4
TRK_01252,113,0.486,0.645,0.06,0.462,-14.51,0.059,0.002,0.022,5,0,4
TRK_01253,90,0.311,0.573,0.166,0.979,-13.46,0.028,0.26,0.097,3,0,4
TRK_01254,138,0.616,0.773,0.299,0.394,-7.0,0.083,0.078,0.4,3,1,4
TRK_01255,154,0.498,0.778,0.419,0.365,-12.37,0.019,0.043,0.122,0,1,4
TRK_01256,122,0.642,0.876,0.568,0.451,-9.1,0.107,0.057,0.258,7,1,4
TRK_01257,149,0.66,0.634,0.472,0.635,-13.52,0.182,0.145,0.02,8,1,4
TRK_01258,117,0.932,0.66,0.385,0.318,-13.84,0.022,0.061,0.046,1,0,4
TRK_01259,137,0.471,0.776,0.728,0.649,-11.5,0.165,0.025,0.165,4,1,4
TRK_01260,82,0.089,0.256,0.261,0.966,-3.14,0.116,0.1,0.289,10,0,4
TRK_01261,100,0.261,0.888,0.142,0.843,-4.48,0.008,0.285,0.331,6,1,4
TRK_01262,95,0.937,0.84,0.313,0.379,-6.74,0.015,0.248,0.051,5,1,4
TRK_01263,118,0.732,0.636,0.288,0.593,-3.17,0.053,0.144,0.271,1,0,4
TRK_01264,103,0.51,0.819,0.927,0.222,-7.3,0.072,0.871,0.334,6,1,6
TRK_01265,95,0.674,0.858,0.706,0.702,-8.12,0.006,0.05,0.025,9,1,4
TRK_01266,109,0.518,0.628,0.337,0.404,-12.49,0.224,0.049,0.107,7,1,6
TRK_01267,199,0.723,0.586,0.938,0.757,-14.88,0.084,0.171,0.053,11,1,4
TRK_01268,88,0.559,0.551,0.704,0.663,-6.57,0.028,0.028,0.081,1,1,4
TRK_01269,82,0.511,0.537,0.75,0.214,-12.74,0.116,0.449,0.158,5,0,4
TRK_01270,130,0.751,0.672,0.058,0.493,-3.36,0.078,0.174,0.074,7,1,4
TRK_01271,121,0.695,0.662,0.711,0.483,-7.69,0.04,0.001,0.2,2,1,4
TRK_01272,129,0.483,0.362,0.332,0.343,-10.2,0.242,0.111,0.044,7,1,4
TRK_01273,138,0.745,0.763,0.114,0.655,-3.15,0.059,0.069,0.009,4,0,4
TRK_01274,118,0.12,0.745,0.196,0.62,-13.27,0.229,0.508,0.049,5,0,5
TRK_01275,80,0.375,0.503,0.534,0.684,-6.26,0.006,0.074,0.059,11,1,5
TRK_01276,111,0.271,0.233,0.877,0.712,-14.95,0.122,0.129,0.043,10,0,4
TRK_01277,157,0.885,0.207,0.325,0.778,-5.44,0.099,0.041,0.079,11,0,4
TRK_01278,87,0.811,0.77,0.531,0.069,-6.63,0.301,0.6,0.067,8,1,4
TRK_01279,116,0.581,0.515,0.359,0.233,-9.44,0.227,0.312,0.183,1,0,4
TRK_01280,132,0.708,0.485,0.376,0.706,-3.49,0.022,0.054,0.06,1,1,4
TRK_01281,78,0.663,0.911,0.836,0.512,-6.76,0.052,0.148,0.131,11,1,4
TRK_01282,103,0.595,0.614,0.356,0.233,-6.37,0.064,0.665,0.059,7,0,4
TRK_01283,99,0.656,0.631,0.292,0.411,-5.82,0.036,0.114,0.172,3,1,4
TRK_01284,119,0.377,0.764,0.495,0.29,-5.07,0.026,0.012,0.131,1,1,4
TRK_01285,43,0.23,0.013,0.377,0.567,-8.55,0.055,0.142,0.231,7,1,4
TRK_01286,125,0.326,0.435,0.506,0.406,-14.15,0.001,0.013,0.091,4,1,3
TRK_01287,70,0.202,0.382,0.757,0.801,-6.88,0.0,0.402,0.032,7,0,4
TRK_01288,94,0.784,0.793,0.887,0.441,-4.69,0.092,0.05,0.14,10,1,4
TRK_01289,90,0.254,0.687,0.104,0.231,-11.66,0.126,0.016,0.114,0,1,4
TRK_01290,100,0.953,0.729,0.549,0.395,-10.27,0.148,0.009,0.148,8,0,3
TRK_01291,107,0.243,0.514,0.418,0.855,-10.72,0.057,0.056,0.037,9,0,3
TRK_01292,127,0.451,0.598,0.043,0.167,-9.74,0.062,0.174,0.461,8,0,4
TRK_01293,113,0.556,0.79,0.536,0.828,-8.78,0.057,0.021,0.043,1,0,4
TRK_01294,97,0.643,0.858,0.767,0.25,-13.12,0.013,0.006,0.537,4,1,4
TRK_01295,123,0.724,0.325,0.142,0.763,-13.96,0.356,0.047,0.004,5,0,4
TRK_01296,85,0.961,0.677,0.503,0.612,-6.09,0.089,0.118,0.049,2,1,4
TRK_01297,121,0.788,0.757,0.551,0.237,-10.58,0.254,0.032,0.331,5,1,5
TRK_01298,108,0.59,0.53,0.357,0.548,-7.95,0.024,0.071,0.184,0,0,4
TRK_01299,108,0.089,0.84,0.303,0.594,-3.9,0.117,0.253,0.044,10,1,4
TRK_01300,106,0.568,0.754,0.714,0.034,-13.06,0.136,0.058,0.012,11,1,4
TRK_01301,106,0.613,0.757,0.692,0.224,-11.52,0.027,0.175,0.007,6,0,4
TRK_01302,147,0.348,0.698,0.627,0.593,-14.01,0.02,0.268,0.127,11,0,4
TRK_01303,164,0.893,0.431,0.54,0.283,-3.16,0.058,0.017,0.302,3,0,4
TRK_01304,116,0.555,0.381,0.231,0.61,-4.36,0.115,0.025,0.072,3,1,3
TRK_01305,122,0.194,0.646,0.625,0.784,-12.69,0.04,0.125,0.19,9,1,4
TRK_01306,103,0.465,0.487,0.839,0.807,-8.76,0.01,0.13,0.131,2,1,4
TRK_01307,105,0.12,0.652,0.954,0.68,-3.51,0.079,0.3,0.242,5,1,4
TRK_01308,122,0.664,0.524,0.794,0.746,-5.99,0.033,0.119,0.298,0,1,4
TRK_01309,140,0.428,0.997,0.576,0.053,-8.4,0.012,0.007,0.054,1,1,4
TRK_01310,149,0.539,0.636,0.934,0.461,-4.56,0.015,0.298,0.154,5,1,4
TRK_01311,129,0.83,1.0,0.826,0.106,-3.54,0.067,0.373,0.139,8,0,4
TRK_01312,122,0.537,0.671,0.113,0.635,-5.9,0.101,0.084,0.071,6,0,4
TRK_01313,142,0.493,0.469,0.8,0.292,-8.62,0.043,0.035,0.105,8,0,4
TRK_01314,124,0.162,0.419,0.52,0.373,-7.29,0.114,0.037,0.055,10,0,4
TRK_01315,160,0.776,0.132,0.364,0.098,-13.53,0.12,0.214,0.041,2,1,5
TRK_01316,97,0.162,0.385,0.051,0.739,-12.88,0.025,0.051,0.28,10,0,4
TRK_01317,101,0.584,0.728,0.446,0.512,-10.63,0.138,0.03,0.271,7,0,4
TRK_01318,116,0.675,0.498,0.585,0.616,-11.8,0.197,0.08,0.538,6,0,3
TRK_01319,160,0.242,0.771,0.364,0.529,-13.96,0.082,0.048,0.079,10,1,4
TRK_01320,138,0.606,0.312,0.673,0.687,-9.06,0.093,0.273,0.104,2,1,4
TRK_01321,132,0.667,0.981,0.329,0.88,-5.05,0.187,0.055,0.145,9,1,4
TRK_01322,110,0.614,0.795,0.743,0.889,-13.5,0.102,0.217,0.102,11,1,4
TRK_01323,158,0.107,0.527,0.717,0.864,-12.09,0.059,0.15,0.13,7,1,4
TRK_01324,127,0.684,0.157,0.556,0.658,-11.86,0.087,0.063,0.198,11,0,4
TRK_01325,86,0.425,0.68,0.484,0.443,-14.14,0.049,0.59,0.176,3,1,4
TRK_01326,109,0.045,0.469,0.934,0.708,-6.76,0.019,0.022,0.081,0,0,5
TRK_01327,90,0.654,0.732,0.729,0.882,-12.57,0.027,0.045,0.392,10,1,3
TRK_01328,106,0.133,0.501,0.138,0.298,-13.36,0.059,0.074,0.151,10,1,4
TRK_01329,80,0.51,0.846,0.417,0.427,-4.43,0.138,0.65,0.166,7,1,4
TRK_01330,78,0.618,0.965,0.294,0.467,-7.27,0.003,0.303,0.259,11,0,4
TRK_01331,128,0.375,0.609,0.239,0.319,-3.02,0.018,0.027,0.206,6,0,5
TRK_01332,153,0.821,0.578,0.589,0.71,-10.14,0.058,0.075,0.015,9,0,4
TRK_01333,100,0.712,0.686,0.62,0.76,-5.82,0.13,0.119,0.094,1,0,4
TRK_01334,92,0.431,0.755,0.159,0.277,-13.67,0.041,0.009,0.03,2,1,4
TRK_01335,62,0.337,0.186,0.575,0.492,-11.04,0.097,0.038,0.201,1,0,4
TRK_01336,97,0.682,0.948,0.654,0.137,-13.7,0.083,0.368,0.517,11,0,4
TRK_01337,120,0.833,0.57,0.524,0.559,-14.99,0.079,0.147,0.189,2,0,4
TRK_01338,87,0.69,0.559,0.783,0.136,-4.34,0.088,0.901,0.02,6,0,4
TRK_01339,154,0.754,0.508,0.057,0.753,-10.56,0.005,0.182,0.115,5,0,4
TRK_01340,84,0.571,0.897,0.2,0.323,-12.39,0.01,0.535,0.189,10,1,4
TRK_01341,128,0.796,0.72,0.377,0.535,-3.73,0.012,0.144,0.204,11,0,4
TRK_01342,121,0.839,0.956,0.182,0.032,-11.39,0.063,0.079,0.032,8,1,4
TRK_01343,131,0.741,0.884,0.234,0.029,-11.14,0.02,0.151,0.012,4,1,4
TRK_01344,83,0.407,0.672,0.464,0.277,-8.39,0.104,0.007,0.28,5,1,3
TRK_01345,168,0.823,0.354,0.097,0.299,-10.46,0.103,0.172,0.464,1,0,4
TRK_01346,112,0.788,0.852,0.163,0.746,-14.04,0.062,0.135,0.139,5,0,4
TRK_01347,113,0.076,0.803,0.715,0.765,-12.53,0.018,0.006,0.124,1,1,4
TRK_01348,132,0.223,0.755,0.359,0.675,-6.2,0.02,0.122,0.137,0,0,5
TRK_01349,125,0.827,0.554,0.352,0.089,-6.54,0.083,0.187,0.013,3,1,4
TRK_01350,133,0.365,0.467,0.751,0.301,-14.53,0.061,0.232,0.133,6,0,4
TRK_01351,135,0.604,0.306,0.261,0.544,-10.28,0.031,0.015,0.06,0,0,5
TRK_01352,92,0.7,0.297,0.61,0.841,-10.82,0.174,0.039,0.378,2,0,4
TRK_01353,122,0.282,0.675,0.764,0.427,-7.0,0.024,0.099,0.106,6,1,4
TRK_01354,104,0.852,0.754,0.161,0.208,-7.86,0.019,0.239,0.267,3,1,4
TRK_01355,130,0.595,0.655,0.683,0.462,-11.71,0.219,0.237,0.085,10,1,4
TRK_01356,124,0.904,0.345,0.208,0.379,-12.25,0.091,0.221,0.321,9,0,4
TRK_01357,142,0.629,0.541,0.54,0.536,-5.91,0.014,0.021,0.354,4,1,4
TRK_01358,86,0.793,0.813,0.763,0.047,-12.42,0.099,0.243,0.037,9,1,4
TRK_01359,151,0.66,0.673,0.31,0.939,-7.77,0.034,0.003,0.013,5,1,4
TRK_01360,106,0.642,0.606,0.477,0.651,-12.5,0.065,0.315,0.12,1,1,4
TRK_01361,122,0.448,0.61,0.207,0.228,-11.87,0.0,0.016,0.317,8,1,4
TRK_01362,161,0.692,0.349,0.497,0.684,-10.11,0.01,0.057,0.063,10,0,4
TRK_01363,136,0.825,0.829,0.623,0.115,-13.17,0.265,0.045,0.529,1,0,4
TRK_01364,109,0.796,0.799,0.642,0.525,-8.13,0.02,0.079,0.037,2,1,4
TRK_01365,134,0.515,0.652,0.776,0.615,-5.33,0.038,0.324,0.024,0,1,4
TRK_01366,93,0.87,0.814,0.574,0.062,-9.99,0.312,0.347,0.011,2,1,4
TRK_01367,127,0.835,0.912,0.839,0.023,-10.65,0.051,0.036,0.014,8,1,4
TRK_01368,126,0.56,0.763,0.678,0.17,-10.19,0.154,0.095,0.106,6,1,4
TRK_01369,93,0.857,0.529,0.83,0.041,-9.52,0.121,0.018,0.303,10,0,4
TRK_01370,160,0.859,0.639,0.692,0.301,-14.74,0.126,0.197,0.065,4,1,4
TRK_01371,166,0.737,0.925,0.68,0.166,-13.05,0.017,0.048,0.026,6,0,4
TRK_01372,148,0.595,0.563,0.798,0.901,-6.26,0.073,0.217,0.155,10,0,4
TRK_01373,120,0.929,0.53,0.528,0.634,-5.41,0.081,0.034,0.315,3,0,4
TRK_01374,119,0.47,0.794,0.558,0.504,-4.23,0.012,0.161,0.158,9,0,5
TRK_01375,188,0.628,0.599,0.189,0.552,-4.46,0.002,0.061,0.23,5,1,4
TRK_01376,125,0.486,0.656,0.248,0.904,-12.46,0.017,0.047,0.17,2,1,4
TRK_01377,140,0.661,1.0,0.183,0.327,-5.84,0.031,0.013,0.182,6,1,4
TRK_01378,99,0.81,0.522,0.685,0.391,-12.32,0.004,0.094,0.125,10,0,4
TRK_01379,124,0.477,0.657,0.714,0.827,-8.16,0.167,0.098,0.179,6,0,4
TRK_01380,110,0.615,0.621,0.351,0.515,-3.5,0.039,0.125,0.137,1,1,4
TRK_01381,102,0.561,0.712,0.801,0.861,-5.73,0.068,0.082,0.071,3,0,4
TRK_01382,120,0.856,0.343,0.417,0.343,-5.17,0.096,0.096,0.059,0,1,4
TRK_01383,116,0.699,0.0,0.196,0.614,-9.15,0.003,0.117,0.24,6,0,3
TRK_01384,151,0.677,0.847,0.423,0.32,-9.87,0.065,0.152,0.022,1,1,4
TRK_01385,99,0.35,0.509,0.536,0.874,-8.03,0.093,0.057,0.029,2,1,4
TRK_01386,111,0.194,0.808,0.468,0.161,-8.91,0.262,0.158,0.166,2,0,4
TRK_01387,160,0.86,0.658,0.277,0.699,-12.47,0.086,0.008,0.109,3,0,4
TRK_01388,126,0.7,0.784,0.458,0.49,-6.09,0.316,0.108,0.258,11,1,6
TRK_01389,136,0.878,0.376,0.52,0.277,-4.87,0.104,0.113,0.085,4,0,4
TRK_01390,143,0.508,0.405,0.767,0.415,-3.79,0.037,0.163,0.208,8,1,4
