award_id,artist_id,award_name,category,year
593,40,Harmonic Award,Best Collaboration,2021
594,55,Melodex Artist Award,Breakthrough Artist,2023
595,157,Solvern Music Prize,Best Artist,2017
596,183,Harmonic Award,Best Live Performance,2015
597,119,Solvern Music Prize,Best Collaboration,2015
598,122,Harmonic Award,Best New Artist,2017
599,77,Solvern Music Prize,Best Track,2021
600,175,Golden Frequency Award,Best Artist,2024
601,136,Crestwick Prize,Best Artist,2018
602,7,Stonfeld Honours,Best Artist,2018
603,97,Melodex Artist Award,Best Live Performance,2023
604,249,Harmonic Award,Best Track,2019
605,98,Melodex Artist Award,Best Artist,2017
606,31,Crestwick Prize,Best New Artist,2018
607,147,Melodex Artist Award,Best Collaboration,2018
608,54,Solvern Music Prize,Best Collaboration,2018
609,161,Harmonic Award,Best Live Performance,2020
610,83,Solvern Music Prize,Best Collaboration,2018
611,8,Harmonic Award,Best Album,2024
612,205,Stonfeld Honours,Best Track,2018
613,34,Harmonic Award,Best Artist,2022
614,172,Streamify Annual Award,Best New Artist,2018
615,153,Velvet Mic Award,Best Album,2021
616,123,Golden Frequency Award,Best Collaboration,2018
617,151,Velvet Mic Award,Best Collaboration,2016
618,152,Crestwick Prize,Best Track,2018
619,89,Stonfeld Honours,Best Track,2019
620,233,Melodex Artist Award,Breakthrough Artist,2017
621,23,Golden Frequency Award,Best Collaboration,2023
622,232,Stonfeld Honours,Breakthrough Artist,2021
623,170,Crestwick Prize,Best Collaboration,2022
624,197,Golden Frequency Award,Best Artist,2021
625,214,Harmonic Award,Best Collaboration,2023
626,121,Melodex Artist Award,Best Artist,2023
627,149,Velvet Mic Award,Best Live Performance,2019
628,123,Velvet Mic Award,Best Track,2015
629,103,Velvet Mic Award,Best Album,2018
630,247,Stonfeld Honours,Best Live Performance,2015
631,229,Golden Frequency Award,Breakthrough Artist,2021
632,234,Velvet Mic Award,Best Track,2022
633,72,Velvet Mic Award,Breakthrough Artist,2018
634,140,Melodex Artist Award,Best Live Performance,2024
635,80,Crestwick Prize,Best Live Performance,2016
636,240,Stonfeld Honours,Best Track,2018
637,145,Melodex Artist Award,Best Live Performance,2015
638,91,Velvet Mic Award,Best Artist,2016
639,135,Harmonic Award,Breakthrough Artist,2022
640,250,Stonfeld Honours,Best Track,2016
641,102,Solvern Music Prize,Best Artist,2019
642,135,Solvern Music Prize,Best New Artist,2015
643,62,Golden Frequency Award,Breakthrough Artist,2015
644,152,Solvern Music Prize,Best Album,2017
645,103,Melodex Artist Award,Best Track,2019
646,16,Velvet Mic Award,Best Album,2020
647,171,Melodex Artist Award,Best Track,2018
648,211,Streamify Annual Award,Breakthrough Artist,2020
649,140,Streamify Annual Award,Best Collaboration,2022
650,216,Solvern Music Prize,Best New Artist,2021
651,109,Stonfeld Honours,Best Collaboration,2019
652,155,Golden Frequency Award,Best Collaboration,2024
653,51,Harmonic Award,Breakthrough Artist,2023
654,129,Melodex Artist Award,Best New Artist,2017
655,139,Melodex Artist Award,Breakthrough Artist,2021
656,217,Streamify Annual Award,Breakthrough Artist,2024
657,75,Golden Frequency Award,Best Live Performance,2015
658,149,Golden Frequency Award,Best Collaboration,2016
659,4,Melodex Artist Award,Best Track,2015
660,134,Velvet Mic Award,Best New Artist,2023
661,208,Velvet Mic Award,Best Live Performance,2023
662,110,Solvern Music Prize,Breakthrough Artist,2015
663,32,Solvern Music Prize,Best Live Performance,2021
664,176,Velvet Mic Award,Breakthrough Artist,2022
665,172,Crestwick Prize,Best Artist,2023
666,146,Crestwick Prize,Best New Artist,2022
667,153,Crestwick Prize,Best Album,2023
668,101,Crestwick Prize,Best Live Performance,2020
669,149,Crestwick Prize,Best Album,2016
670,185,Solvern Music Prize,Best Live Performance,2020
671,186,Solvern Music Prize,Best Collaboration,2023
672,207,Melodex Artist Award,Breakthrough Artist,2023
673,111,Velvet Mic Award,Best Album,2023
674,124,Stonfeld Honours,Best Album,2016
675,101,Golden Frequency Award,Best Live Performance,2024
676,169,Melodex Artist Award,Best Album,2018
677,73,Velvet Mic Award,Best Album,2023
678,227,Solvern Music Prize,Breakthrough Artist,2019
679,111,Crestwick Prize,Best New Artist,2018
680,139,Stonfeld Honours,Best Artist,2019
681,101,Velvet Mic Award,Best New Artist,2019
682,126,Melodex Artist Award,Breakthrough Artist,2022
683,172,Solvern Music Prize,Best Collaboration,2019
684,50,Melodex Artist Award,Best New Artist,2020
685,124,Streamify Annual Award,Best Album,2021
686,123,Harmonic Award,Best Live Performance,2022
687,168,Crestwick Prize,Best Album,2016
688,13,Stonfeld Honours,Best Album,2016
689,40,Velvet Mic Award,Best Album,2015
690,141,Streamify Annual Award,Best Live Performance,2016
691,184,Melodex Artist Award,Breakthrough Artist,2022
692,49,Solvern Music Prize,Breakthrough Artist,2019
693,168,Solvern Music Prize,Best New Artist,2019
694,161,Harmonic Award,Best Live Performance,2015
695,108,Streamify Annual Award,Best Live Performance,2020
696,123,Crestwick Prize,Best Collaboration,2023
697,219,Solvern Music Prize,Best New Artist,2017
698,20,Melodex Artist Award,Best Collaboration,2018
699,217,Golden Frequency Award,Best Artist,2016
700,20,Harmonic Award,Best Track,2021
701,194,Stonfeld Honours,Best Album,2022
702,68,Harmonic Award,Breakthrough Artist,2016
703,246,Harmonic Award,Best Track,2018
704,94,Golden Frequency Award,Breakthrough Artist,2020
705,45,Harmonic Award,Best Artist,2016
706,238,Melodex Artist Award,Breakthrough Artist,2022
707,110,Stonfeld Honours,Best Artist,2022
708,196,Velvet Mic Award,Best Album,2015
709,200,Stonfeld Honours,Best Live Performance,2019
710,23,Crestwick Prize,Best Artist,2024
711,166,Harmonic Award,Best Track,2023
712,243,Crestwick Prize,Breakthrough Artist,2016
713,198,Golden Frequency Award,Best New Artist,2020
714,180,Streamify Annual Award,Best Live Performance,2019
715,7,Velvet Mic Award,Best Album,2017
716,115,Melodex Artist Award,Best Live Performance,2021
717,43,Streamify Annual Award,Best New Artist,2016
718,62,Streamify Annual Award,Best New Artist,2018
719,25,Melodex Artist Award,Best Track,2023
720,182,Solvern Music Prize,Best Artist,2019
721,177,Melodex Artist Award,Best New Artist,2023
722,243,Crestwick Prize,Best Track,2024
723,132,Golden Frequency Award,Breakthrough Artist,2017
724,37,Solvern Music Prize,Best Live Performance,2020
725,36,Harmonic Award,Best Track,2018
726,33,Harmonic Award,Best Artist,2019
727,1,Streamify Annual Award,Best Artist,2018
728,185,Crestwick Prize,Best Track,2022
729,150,Solvern Music Prize,Best Artist,2016
730,157,Stonfeld Honours,Best Album,2022
731,15,Streamify Annual Award,Best Collaboration,2018
732,54,Harmonic Award,Best Collaboration,2024
733,132,Golden Frequency Award,Best Collaboration,2022
734,15,Harmonic Award,Best Track,2018
735,100,Melodex Artist Award,Breakthrough Artist,2016
736,141,Melodex Artist Award,Best Collaboration,2019
737,109,Crestwick Prize,Best Collaboration,2015
738,47,Solvern Music Prize,Best Track,2022
739,144,Stonfeld Honours,Best Track,2016
740,65,Melodex Artist Award,Best Album,2020
741,164,Golden Frequency Award,Best Live Performance,2017
742,157,Solvern Music Prize,Best Collaboration,2022
743,109,Crestwick Prize,Best New Artist,2023
744,86,Crestwick Prize,Best Live Performance,2023
745,11,Stonfeld Honours,Best Album,2020
746,29,Stonfeld Honours,Best Track,2018
747,117,Melodex Artist Award,Best New Artist,2017
748,156,Melodex Artist Award,Best Album,2018
749,1,Solvern Music Prize,Best Album,2017
750,249,Stonfeld Honours,Breakthrough Artist,2020
751,139,Melodex Artist Award,Best Track,2018
752,247,Streamify Annual Award,Best Track,2020
753,103,Solvern Music Prize,Best Track,2019
754,42,Stonfeld Honours,Best New Artist,2021
755,157,Stonfeld Honours,Best Live Performance,2022
756,140,Harmonic Award,Best Album,2019
757,222,Crestwick Prize,Best Live Performance,2015
758,144,Harmonic Award,Best Track,2023
759,138,Harmonic Award,Best New Artist,2018
760,9,Solvern Music Prize,Best Track,2024
761,23,Melodex Artist Award,Best Collaboration,2019
762,37,Crestwick Prize,Best Live Performance,2015
763,228,Melodex Artist Award,Best New Artist,2024
764,135,Melodex Artist Award,Best Collaboration,2021
765,86,Melodex Artist Award,Best Collaboration,2024
766,162,Streamify Annual Award,Best Track,2022
767,239,Crestwick Prize,Best Collaboration,2017
768,247,Melodex Artist Award,Best Album,2019
769,195,Solvern Music Prize,Best New Artist,2017
770,144,Melodex Artist Award,Best Album,2023
771,49,Crestwick Prize,Best Album,2017
772,114,Solvern Music Prize,Best Album,2019
773,154,Solvern Music Prize,Best Album,2017
774,126,Streamify Annual Award,Best Album,2023
775,67,Solvern Music Prize,Best Album,2021
776,126,Streamify Annual Award,Best Artist,2023
777,191,Velvet Mic Award,Breakthrough Artist,2016
778,5,Harmonic Award,Best Track,2020
779,179,Golden Frequency Award,Best Album,2017
780,246,Stonfeld Honours,Breakthrough Artist,2019
781,43,Stonfeld Honours,Best Artist,2023
782,236,Stonfeld Honours,Best Track,2023
783,144,Melodex Artist Award,Best New Artist,2017
784,3,Streamify Annual Award,Best Track,2016
785,93,Crestwick Prize,Best Album,2019
786,211,Golden Frequency Award,Best Track,2016
787,177,Golden Frequency Award,Best Artist,2016
788,111,Crestwick Prize,Best Track,2016
789,102,Solvern Music Prize,Best Track,2015
790,49,Stonfeld Honours,Best Track,2017
791,233,Streamify Annual Award,Best Collaboration,2018
792,103,Golden Frequency Award,Best Collaboration,2016
793,144,Solvern Music Prize,Best Track,2021
794,13,Harmonic Award,Best New Artist,2018
795,3,Melodex Artist Award,Best Collaboration,2022
796,25,Solvern Music Prize,Breakthrough Artist,2017
797,156,Velvet Mic Award,Best Artist,2022
798,20,Velvet Mic Award,Best Live Performance,2016
799,71,Streamify Annual Award,Breakthrough Artist,2024
800,161,Solvern Music Prize,Best Track,2018
